Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country/Region,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
11,ID-2018-63535,2018-05-10,2018-05-16,Standard Class,ML-17410,Maris LaWare,Consumer,Hobart,Tasmania,Australia,Oceania,OFF-AR-10001134,Office Supplies,Art,"Boston Pens, Easy-Erase",8.694,1,0.4,-4.356
12,ID-2017-65117,2017-07-12,2017-07-16,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,OFF-SU-10004177,Office Supplies,Supplies,"Fiskars Box Cutter, Easy Grip",61.281,3,0.45,-25.659
13,ID-2017-65117,2017-07-12,2017-07-16,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,TEC-PH-10001354,Technology,Phones,"Motorola Speaker Phone, Full Size",589.815,6,0.25,23.535
14,ID-2017-65117,2017-07-12,2017-07-16,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,OFF-BI-10000089,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Recycled",216.8775,9,0.15,86.7375
15,ID-2017-65117,2017-07-12,2017-07-16,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,OFF-EN-10003463,Office Supplies,Envelopes,"Jiffy Peel and Seal, Recycled",51.7275,5,0.45,-5.7225
16,ID-2017-65117,2017-07-12,2017-07-16,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,FUR-CH-10001871,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Set of Two",600.84,8,0.25,-152.28
17,ID-2020-39084,2020-06-13,2020-06-17,Standard Class,PO-18865,Patrick O'Donnell,Consumer,Valencia,Bukidnon,Philippines,Southeast Asia,TEC-CO-10000666,Technology,Copiers,"Hewlett Copy Machine, Laser",684.606,4,0.35,-63.234
18,ID-2020-44908,2020-02-27,2020-03-04,Standard Class,AI-10855,Arianne Irving,Consumer,Bandung,Jawa Barat,Indonesia,Southeast Asia,OFF-SU-10004848,Office Supplies,Supplies,"Kleencut Shears, High Speed",123.9405,5,0.47,-84.2595
19,ID-2020-44908,2020-02-27,2020-03-04,Standard Class,AI-10855,Arianne Irving,Consumer,Bandung,Jawa Barat,Indonesia,Southeast Asia,OFF-PA-10003332,Office Supplies,Paper,"Xerox Cards & Envelopes, Recycled",47.5728,2,0.47,-15.3072
20,ID-2018-73146,2018-10-25,2018-10-31,Standard Class,HM-14980,Henry MacAllister,Consumer,Denpasar,Bali,Indonesia,Southeast Asia,OFF-AP-10000487,Office Supplies,Appliances,"Hoover Stove, Silver",1417.3578,3,0.17,-290.3022
21,ID-2018-73146,2018-10-25,2018-10-31,Standard Class,HM-14980,Henry MacAllister,Consumer,Denpasar,Bali,Indonesia,Southeast Asia,OFF-LA-10000095,Office Supplies,Labels,"Avery Round Labels, Laser Printer Compatible",22.7052,6,0.47,-4.2948
22,ID-2020-62926,2020-09-18,2020-09-19,First Class,MC-18100,Mick Crebagga,Consumer,Makati,Metro Manila,Philippines,Southeast Asia,TEC-MA-10003553,Technology,Machines,"Epson Printer, Red",389.655,2,0.25,-83.145
23,ID-2020-64914,2020-03-27,2020-03-28,First Class,AS-10285,Alejandro Savely,Corporate,Fushun,Liaoning,China,North Asia,FUR-TA-10000147,Furniture,Tables,"Lesro Coffee Table, Rectangular",1048.194,6,0.3,-284.526
24,ID-2018-57809,2018-10-10,2018-10-14,Standard Class,AO-10810,Anthony O'Donnell,Corporate,Pekanbaru,Riau,Indonesia,Southeast Asia,FUR-TA-10000665,Furniture,Tables,"Bevis Computer Table, Fully Assembled",786.2868,3,0.47,-563.8032
25,ID-2018-57809,2018-10-10,2018-10-14,Standard Class,AO-10810,Anthony O'Donnell,Corporate,Pekanbaru,Riau,Indonesia,Southeast Asia,OFF-AR-10001232,Office Supplies,Art,"Sanford Canvas, Fluorescent",75.5988,2,0.27,4.1388
26,IN-2019-76464,2019-06-13,2019-06-15,First Class,DK-13090,Dave Kipp,Consumer,Semarang,Jawa Tengah,Indonesia,Southeast Asia,OFF-AR-10000027,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Easy-Erase",61.1667,3,0.27,10.0467
27,IN-2019-76464,2019-06-13,2019-06-15,First Class,DK-13090,Dave Kipp,Consumer,Semarang,Jawa Tengah,Indonesia,Southeast Asia,FUR-CH-10003009,Furniture,Chairs,"Novimex Swivel Stool, Adjustable",243.747,2,0.27,-6.693
28,IN-2017-32126,2017-09-03,2017-09-09,Standard Class,GA-14515,George Ashbrook,Consumer,Las Pinas,Metro Manila,Philippines,Southeast Asia,FUR-CH-10001313,Furniture,Chairs,"SAFCO Steel Folding Chair, Black",249.84,4,0.25,69.84
29,IN-2017-32126,2017-09-03,2017-09-09,Standard Class,GA-14515,George Ashbrook,Consumer,Las Pinas,Metro Manila,Philippines,Southeast Asia,OFF-ST-10003837,Office Supplies,Storage,"Tenex Lockers, Single Width",561.495,5,0.45,-316.605
30,IN-2020-12575,2020-11-24,2020-11-29,Standard Class,TG-21310,Toby Gnade,Consumer,Brisbane,Queensland,Australia,Oceania,OFF-AR-10000058,Office Supplies,Art,"Stanley Canvas, Water Color",94.77,2,0.1,25.23
31,IN-2020-29697,2020-10-06,2020-10-06,Same Day,JC-15340,Jasper Cacioppo,Consumer,Rockhampton,Queensland,Australia,Oceania,OFF-AR-10004486,Office Supplies,Art,"Sanford Canvas, Blue",136.404,3,0.1,24.174
32,IN-2020-29697,2020-10-06,2020-10-06,Same Day,JC-15340,Jasper Cacioppo,Consumer,Rockhampton,Queensland,Australia,Oceania,OFF-PA-10000694,Office Supplies,Paper,"Green Bar Message Books, Premium",64.233,3,0.1,15.633
33,IN-2020-29697,2020-10-06,2020-10-06,Same Day,JC-15340,Jasper Cacioppo,Consumer,Rockhampton,Queensland,Australia,Oceania,TEC-CO-10003702,Technology,Copiers,"Brother Ink, Digital",793.476,6,0.1,343.836
34,IN-2019-55051,2019-07-30,2019-08-05,Standard Class,AM-10705,Anne McFarland,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,OFF-LA-10002139,Office Supplies,Labels,"Novimex Color Coded Labels, Alphabetical",20.3184,2,0.17,0.2184
35,IN-2019-55051,2019-07-30,2019-08-05,Standard Class,AM-10705,Anne McFarland,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,TEC-AC-10001500,Technology,Accessories,"Logitech Memory Card, Erganomic",268.1535,5,0.47,-207.4965
36,IN-2019-55051,2019-07-30,2019-08-05,Standard Class,AM-10705,Anne McFarland,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,TEC-AC-10003750,Technology,Accessories,"Memorex Memory Card, Erganomic",318.2544,6,0.47,-114.1056
37,IN-2019-55051,2019-07-30,2019-08-05,Standard Class,AM-10705,Anne McFarland,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,TEC-CO-10001954,Technology,Copiers,"Brother Wireless Fax, Laser",238.6503,1,0.37,22.7103
38,ID-2020-76618,2020-08-12,2020-08-14,Second Class,RB-19330,Randy Bradley,Consumer,Perth,Western Australia,Australia,Oceania,OFF-ST-10004830,Office Supplies,Storage,"Eldon Lockers, Blue",178.119,1,0.1,-15.861
39,ID-2020-76618,2020-08-12,2020-08-14,Second Class,RB-19330,Randy Bradley,Consumer,Perth,Western Australia,Australia,Oceania,FUR-CH-10003836,Furniture,Chairs,"Harbour Creations Rocking Chair, Red",397.143,3,0.1,70.533
40,ID-2020-76618,2020-08-12,2020-08-14,Second Class,RB-19330,Randy Bradley,Consumer,Perth,Western Australia,Australia,Oceania,OFF-BI-10000340,Office Supplies,Binders,"Avery Binding Machine, Clear",608.58,14,0.1,0
41,ID-2020-76618,2020-08-12,2020-08-14,Second Class,RB-19330,Randy Bradley,Consumer,Perth,Western Australia,Australia,Oceania,FUR-FU-10004158,Furniture,Furnishings,"Deflect-O Frame, Black",99.036,1,0.1,29.706
42,ID-2019-34709,2019-04-16,2019-04-22,Standard Class,LC-16870,Lena Cacioppo,Consumer,Melbourne,Victoria,Australia,Oceania,OFF-BI-10004098,Office Supplies,Binders,"Acco 3-Hole Punch, Durable",199.206,7,0.1,-20.034
43,IN-2018-70325,2018-01-12,2018-01-16,Standard Class,AB-10015,Aaron Bergman,Consumer,Kolhapur,Maharashtra,India,Central Asia,TEC-AC-10002719,Technology,Accessories,"Enermax Router, Programmable",1039.32,4,0,301.32
44,IN-2018-70325,2018-01-12,2018-01-16,Standard Class,AB-10015,Aaron Bergman,Consumer,Kolhapur,Maharashtra,India,Central Asia,TEC-AC-10004054,Technology,Accessories,"Memorex Keyboard, Bluetooth",142.68,2,0,45.6
45,IN-2017-38202,2017-08-18,2017-08-24,Standard Class,DV-13045,Darrin Van Huff,Corporate,Perth,Western Australia,Australia,Oceania,TEC-AC-10001639,Technology,Accessories,"Belkin Flash Drive, Erganomic",107.325,3,0.1,9.495
46,IN-2017-38202,2017-08-18,2017-08-24,Standard Class,DV-13045,Darrin Van Huff,Corporate,Perth,Western Australia,Australia,Oceania,OFF-BI-10002632,Office Supplies,Binders,"Acco Binding Machine, Recycled",138.915,3,0.1,26.235
47,IN-2017-38202,2017-08-18,2017-08-24,Standard Class,DV-13045,Darrin Van Huff,Corporate,Perth,Western Australia,Australia,Oceania,OFF-EN-10001789,Office Supplies,Envelopes,"Kraft Peel and Seal, Set of 50",36.882,2,0.1,-0.858
48,IN-2017-38202,2017-08-18,2017-08-24,Standard Class,DV-13045,Darrin Van Huff,Corporate,Perth,Western Australia,Australia,Oceania,TEC-CO-10000786,Technology,Copiers,"Canon Fax Machine, Color",287.847,1,0.1,28.767
49,IN-2018-10790,2018-10-24,2018-10-28,Standard Class,JE-15610,Jim Epp,Corporate,Launceston,Tasmania,Australia,Oceania,TEC-PH-10004300,Technology,Phones,"Apple Office Telephone, Cordless",245.268,4,0.1,100.788
50,IN-2020-71235,2020-09-17,2020-09-17,Same Day,NC-18625,Noah Childs,Corporate,Maryborough,Queensland,Australia,Oceania,FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",333.234,3,0.1,66.564
51,IN-2020-71235,2020-09-17,2020-09-17,Same Day,NC-18625,Noah Childs,Corporate,Maryborough,Queensland,Australia,Oceania,OFF-PA-10000453,Office Supplies,Paper,"Xerox Cards & Envelopes, 8.5 x 11",88.398,2,0.1,24.498
52,IN-2018-29571,2018-09-28,2018-10-04,Standard Class,MD-17860,Michael Dominguez,Corporate,Bareilly,Uttar Pradesh,India,Central Asia,TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size",3187.5,5,0,350.55
53,ID-2020-17265,2020-03-01,2020-03-05,Standard Class,KB-16240,Karen Bern,Corporate,Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia,OFF-EN-10001491,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",278.64,6,0,55.62
54,IN-2019-34702,2019-09-14,2019-09-19,Standard Class,EM-13960,Eric Murdock,Consumer,Mount Gambier,South Australia,Australia,Oceania,OFF-ST-10000704,Office Supplies,Storage,"Rogers File Cart, Blue",379.809,3,0.1,113.859
55,IN-2019-34702,2019-09-14,2019-09-19,Standard Class,EM-13960,Eric Murdock,Consumer,Mount Gambier,South Australia,Australia,Oceania,FUR-BO-10004806,Furniture,Bookcases,"Safco Corner Shelving, Traditional",1210.626,9,0.1,376.596
56,IN-2019-34702,2019-09-14,2019-09-19,Standard Class,EM-13960,Eric Murdock,Consumer,Mount Gambier,South Australia,Australia,Oceania,FUR-FU-10003939,Furniture,Furnishings,"Tenex Photo Frame, Duo Pack",326.97,7,0.1,94.29
57,IN-2019-34702,2019-09-14,2019-09-19,Standard Class,EM-13960,Eric Murdock,Consumer,Mount Gambier,South Australia,Australia,Oceania,FUR-FU-10001477,Furniture,Furnishings,"Rubbermaid Stacking Tray, Black",181.44,8,0.1,24
58,IN-2019-34702,2019-09-14,2019-09-19,Standard Class,EM-13960,Eric Murdock,Consumer,Mount Gambier,South Australia,Australia,Oceania,OFF-AR-10002797,Office Supplies,Art,"Sanford Highlighters, Blue",70.875,5,0.1,15.675
59,IN-2019-34702,2019-09-14,2019-09-19,Standard Class,EM-13960,Eric Murdock,Consumer,Mount Gambier,South Australia,Australia,Oceania,TEC-AC-10000420,Technology,Accessories,"Belkin Router, USB",466.128,2,0.1,176.088
60,IN-2019-34702,2019-09-14,2019-09-19,Standard Class,EM-13960,Eric Murdock,Consumer,Mount Gambier,South Australia,Australia,Oceania,TEC-CO-10003393,Technology,Copiers,"Sharp Personal Copier, Digital",969.084,9,0.1,-75.546
61,IN-2019-34702,2019-09-14,2019-09-19,Standard Class,EM-13960,Eric Murdock,Consumer,Mount Gambier,South Australia,Australia,Oceania,OFF-BI-10002853,Office Supplies,Binders,"Avery Binder Covers, Recycled",20.574,2,0.1,8.454
62,IN-2019-34702,2019-09-14,2019-09-19,Standard Class,EM-13960,Eric Murdock,Consumer,Mount Gambier,South Australia,Australia,Oceania,OFF-AR-10000539,Office Supplies,Art,"Boston Markers, Easy-Erase",119.88,5,0.1,-4.02
63,IN-2018-20996,2018-09-25,2018-09-29,Standard Class,ML-18265,Muhammed Lee,Consumer,Kota Kinabalu,Sabah,Malaysia,Southeast Asia,OFF-PA-10002461,Office Supplies,Paper,"Eaton Parchment Paper, Multicolor",59.52,4,0,17.76
64,ID-2018-28682,2018-05-13,2018-05-15,First Class,FO-14305,Frank Olsen,Consumer,Mount Gambier,South Australia,Australia,Oceania,OFF-PA-10000215,Office Supplies,Paper,"Eaton Parchment Paper, Premium",24.246,2,0.1,-0.834
65,ID-2018-28682,2018-05-13,2018-05-15,First Class,FO-14305,Frank Olsen,Consumer,Mount Gambier,South Australia,Australia,Oceania,TEC-PH-10002602,Technology,Phones,"Nokia Headset, Cordless",410.184,6,0.1,150.264
66,ID-2018-28682,2018-05-13,2018-05-15,First Class,FO-14305,Frank Olsen,Consumer,Mount Gambier,South Australia,Australia,Oceania,FUR-CH-10004810,Furniture,Chairs,"Hon Swivel Stool, Set of Two",298.62,2,0.1,36.48
67,IN-2017-78823,2017-09-16,2017-09-21,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-ST-10000220,Office Supplies,Storage,"Rogers Shelving, Industrial",187.83,3,0,33.75
68,IN-2017-78823,2017-09-16,2017-09-21,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,FUR-FU-10004820,Furniture,Furnishings,"Advantus Photo Frame, Erganomic",361.2,7,0,155.19
69,IN-2017-78823,2017-09-16,2017-09-21,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-FA-10000577,Office Supplies,Fasteners,"Stockwell Push Pins, 12 Pack",26.82,2,0,13.38
70,IN-2017-78823,2017-09-16,2017-09-21,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-FA-10004813,Office Supplies,Fasteners,"Stockwell Rubber Bands, Bulk Pack",49.59,3,0,12.33
71,IN-2017-78823,2017-09-16,2017-09-21,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-FA-10003218,Office Supplies,Fasteners,"Advantus Push Pins, Assorted Sizes",35.64,3,0,14.58
72,IN-2017-78823,2017-09-16,2017-09-21,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-LA-10004114,Office Supplies,Labels,"Avery File Folder Labels, Alphabetical",53.64,6,0,15.48
73,ID-2019-67952,2019-07-06,2019-07-10,Standard Class,CS-12175,Charles Sheldon,Corporate,Canberra,Australian Capital Territory,Australia,Oceania,TEC-AC-10000111,Technology,Accessories,"SanDisk Mouse, USB",23.112,1,0.4,-15.408
74,IN-2017-21983,2017-08-13,2017-08-17,Standard Class,CR-12580,Clay Rozendal,Home Office,Varanasi,Uttar Pradesh,India,Central Asia,FUR-FU-10002525,Furniture,Furnishings,"Deflect-O Door Stop, Erganomic",127.71,3,0,59.94
75,IN-2019-41681,2019-10-04,2019-10-09,Standard Class,MS-17710,Maurice Satty,Consumer,Bundaberg,Queensland,Australia,Oceania,OFF-AR-10004780,Office Supplies,Art,"Stanley Markers, Blue",59.94,3,0.1,25.29
76,IN-2020-32091,2020-07-11,2020-07-15,Standard Class,CK-12595,Clytie Kelty,Consumer,Jingdezhen,Jiangxi,China,North Asia,FUR-FU-10000666,Furniture,Furnishings,"Rubbermaid Frame, Black",219.78,2,0,59.34
77,IN-2020-32091,2020-07-11,2020-07-15,Standard Class,CK-12595,Clytie Kelty,Consumer,Jingdezhen,Jiangxi,China,North Asia,OFF-ST-10001824,Office Supplies,Storage,"Rogers Box, Single Width",72,3,0,4.32
78,IN-2018-65747,2018-04-11,2018-04-16,Standard Class,JC-15340,Jasper Cacioppo,Consumer,Brisbane,Queensland,Australia,Oceania,OFF-BI-10002562,Office Supplies,Binders,"Ibico Binding Machine, Durable",190.512,4,0.1,65.592
79,ID-2018-20562,2018-06-05,2018-06-10,Standard Class,RM-19375,Raymond Messe,Consumer,Sydney,New South Wales,Australia,Oceania,OFF-BI-10001967,Office Supplies,Binders,"Acco Binder, Recycled",13.959,1,0.1,-0.951
80,ID-2019-18448,2019-06-18,2019-06-22,Standard Class,NC-18415,Nathan Cano,Consumer,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-LA-10002272,Office Supplies,Labels,"Smead File Folder Labels, Alphabetical",9.222,2,0.47,-6.798
81,ID-2019-18448,2019-06-18,2019-06-22,Standard Class,NC-18415,Nathan Cano,Consumer,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-BI-10004868,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Durable",35.0343,7,0.17,-5.9157
82,ID-2019-18448,2019-06-18,2019-06-22,Standard Class,NC-18415,Nathan Cano,Consumer,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-LA-10004848,Office Supplies,Labels,"Avery Legal Exhibit Labels, 5000 Label Set",18.6507,3,0.47,-1.4193
83,IN-2020-29753,2020-11-13,2020-11-19,Standard Class,NS-18640,Noel Staavos,Corporate,Baotou,Inner Mongolia,China,North Asia,OFF-LA-10003778,Office Supplies,Labels,"Novimex File Folder Labels, Alphabetical",32.28,4,0,8.28
84,IN-2020-29753,2020-11-13,2020-11-19,Standard Class,NS-18640,Noel Staavos,Corporate,Baotou,Inner Mongolia,China,North Asia,TEC-AC-10001278,Technology,Accessories,"Enermax Flash Drive, USB",125.19,3,0,29.97
85,IN-2020-29753,2020-11-13,2020-11-19,Standard Class,NS-18640,Noel Staavos,Corporate,Baotou,Inner Mongolia,China,North Asia,OFF-ST-10000704,Office Supplies,Storage,"Rogers File Cart, Blue",562.68,4,0,208.08
86,IN-2020-55513,2020-12-09,2020-12-13,Standard Class,CR-12580,Clay Rozendal,Home Office,Kanpur,Uttar Pradesh,India,Central Asia,OFF-ST-10003810,Office Supplies,Storage,"Tenex Box, Single Width",115.71,7,0,40.32
87,IN-2020-55513,2020-12-09,2020-12-13,Standard Class,CR-12580,Clay Rozendal,Home Office,Kanpur,Uttar Pradesh,India,Central Asia,OFF-EN-10000114,Office Supplies,Envelopes,"Kraft Clasp Envelope, Security-Tint",45.6,4,0,0.84
88,IN-2020-76674,2020-09-14,2020-09-20,Standard Class,MZ-17515,Mary Zewe,Corporate,Kasugai,Aichi,Japan,North Asia,OFF-AR-10001405,Office Supplies,Art,"Binney & Smith Highlighters, Fluorescent",53.55,3,0,6.93
89,IN-2020-76674,2020-09-14,2020-09-20,Standard Class,MZ-17515,Mary Zewe,Corporate,Kasugai,Aichi,Japan,North Asia,FUR-CH-10002188,Furniture,Chairs,"SAFCO Steel Folding Chair, Set of Two",351.84,4,0,147.72
90,ID-2019-79964,2019-01-06,2019-01-07,First Class,RS-19765,Roland Schwarz,Corporate,Mackay,Queensland,Australia,Oceania,OFF-ST-10003445,Office Supplies,Storage,"Rogers Folders, Industrial",84.159,3,0.1,-6.561
91,IN-2020-47463,2020-02-28,2020-03-05,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,OFF-BI-10002424,Office Supplies,Binders,"Avery Binder, Economy",15.48,2,0.4,0.24
92,IN-2017-42591,2017-11-26,2017-11-30,Standard Class,MA-17995,Michelle Arnett,Home Office,Melbourne,Victoria,Australia,Oceania,OFF-LA-10000506,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",39.42,4,0.1,8.22
93,ID-2020-17657,2020-06-25,2020-06-30,Standard Class,FC-14245,Frank Carlisle,Home Office,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-PA-10004260,Office Supplies,Paper,"Xerox Memo Slips, Recycled",28.4928,4,0.47,-5.4672
94,IN-2019-59755,2019-04-27,2019-04-30,Second Class,PG-18820,Patrick Gardner,Consumer,Phnom Penh,Phnom Penh,Cambodia,Southeast Asia,FUR-CH-10004009,Furniture,Chairs,"SAFCO Rocking Chair, Set of Two",137.16,1,0,31.53
95,IN-2019-59755,2019-04-27,2019-04-30,Second Class,PG-18820,Patrick Gardner,Consumer,Phnom Penh,Phnom Penh,Cambodia,Southeast Asia,FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",1314.45,3,0,39.42
96,ID-2017-74721,2017-05-05,2017-05-06,First Class,HG-14845,Harry Greene,Consumer,Yogyakarta,Yogyakarta,Indonesia,Southeast Asia,TEC-MA-10004298,Technology,Machines,"Panasonic Calculator, Durable",41.832,1,0.17,-8.088
97,ID-2017-74721,2017-05-05,2017-05-06,First Class,HG-14845,Harry Greene,Consumer,Yogyakarta,Yogyakarta,Indonesia,Southeast Asia,OFF-FA-10001010,Office Supplies,Fasteners,"Stockwell Clamps, Metal",82.044,8,0.47,-32.676
98,ID-2017-74721,2017-05-05,2017-05-06,First Class,HG-14845,Harry Greene,Consumer,Yogyakarta,Yogyakarta,Indonesia,Southeast Asia,OFF-AP-10002017,Office Supplies,Appliances,"Cuisinart Blender, Red",55.6017,1,0.17,0.6417
99,IN-2020-60476,2020-11-03,2020-11-07,Standard Class,HM-14980,Henry MacAllister,Consumer,Shanghai,Shanghai,China,North Asia,OFF-FA-10001187,Office Supplies,Fasteners,"Stockwell Paper Clips, Bulk Pack",27.24,2,0,9.24
100,IN-2020-60476,2020-11-03,2020-11-07,Standard Class,HM-14980,Henry MacAllister,Consumer,Shanghai,Shanghai,China,North Asia,OFF-FA-10001045,Office Supplies,Fasteners,"Stockwell Staples, 12 Pack",49.2,5,0,3.9
101,IN-2020-60476,2020-11-03,2020-11-07,Standard Class,HM-14980,Henry MacAllister,Consumer,Shanghai,Shanghai,China,North Asia,OFF-EN-10003000,Office Supplies,Envelopes,"Cameo Mailers, Recycled",184.8,5,0,73.8
102,IN-2020-60476,2020-11-03,2020-11-07,Standard Class,HM-14980,Henry MacAllister,Consumer,Shanghai,Shanghai,China,North Asia,OFF-BI-10001904,Office Supplies,Binders,"Cardinal Binder Covers, Durable",27,2,0,13.2
103,IN-2020-60476,2020-11-03,2020-11-07,Standard Class,HM-14980,Henry MacAllister,Consumer,Shanghai,Shanghai,China,North Asia,OFF-AR-10002727,Office Supplies,Art,"Stanley Pencil Sharpener, Fluorescent",49.56,2,0,13.86
104,IN-2018-60371,2018-06-28,2018-06-30,First Class,BE-11335,Bill Eplett,Home Office,Taiyuan,Shanxi,China,North Asia,TEC-PH-10001917,Technology,Phones,"Apple Signal Booster, Cordless",139.5,1,0,11.16
105,IN-2018-60371,2018-06-28,2018-06-30,First Class,BE-11335,Bill Eplett,Home Office,Taiyuan,Shanxi,China,North Asia,TEC-CO-10000778,Technology,Copiers,"Sharp Fax and Copier, Color",340.08,2,0,33.96
106,IN-2020-57410,2020-10-17,2020-10-23,Standard Class,CS-12250,Chris Selesnick,Corporate,Kuching,Sarawak,Malaysia,Southeast Asia,OFF-BI-10004334,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",11.82,2,0,1.98
107,IN-2020-57410,2020-10-17,2020-10-23,Standard Class,CS-12250,Chris Selesnick,Corporate,Kuching,Sarawak,Malaysia,Southeast Asia,OFF-ST-10001026,Office Supplies,Storage,"Fellowes Trays, Single Width",287.1,5,0,129.15
108,IN-2020-57410,2020-10-17,2020-10-23,Standard Class,CS-12250,Chris Selesnick,Corporate,Kuching,Sarawak,Malaysia,Southeast Asia,OFF-EN-10003838,Office Supplies,Envelopes,"Cameo Peel and Seal, with clear poly window",24.54,1,0,7.11
109,ID-2018-10230,2018-07-07,2018-07-10,First Class,JC-16105,Julie Creighton,Corporate,Jakarta,Jakarta,Indonesia,Southeast Asia,FUR-BO-10004399,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",160.5366,1,0.07,-1.7334
